Date,Winner,First Player,P1,P1 Deck,P2,P2 Deck,P3,P3 Deck,P4,P4 Deck
19.01.2024,Saka,Profit,Saka,Rex,Profit,Zur,Nori,Millicent,,
19.01.2024,Nori,Profit,Saka,Galea,Profit,ThaliaGitrog,Nori,Prosper,,
19.01.2024,Saka,Saka,Saka,Edgar,Profit,Atraxa,Nori,Prosper,,
23.02.2024,Profit,Seba,Saka,Breya,Profit,Katilda,Nori,Millicent,Seba,Anowon
23.02.2024,Profit,Nori,Saka,Rex,Profit,Alela,Nori,Prosper,Seba,Obuun
20.04.2024,Saka,Profit,Saka,UrDragon,Seba,Anowon,Profit,Sigarda,Nori,Millicent
20.04.2024,Saka,Seba,Saka,Boros,Seba,Obuun,Profit,Anhelo,Nori,Prosper
19.05.2024,Saka,Nori,Saka,Anikthea,Profit,Sigarda,Nori,Prosper,,
19.05.2024,Saka,Saka,Saka,Mirko,Profit,Morophon,Nori,Millicent,,
19.05.2024,Profit,Saka,Saka,Rex,Profit,Morophon,Nori,Millicent,,
29.06.2024,Nori,Profit,Saka,Ulalek,Profit,Atraxa,Nori,Prosper,,
29.06.2024,Saka,Nori,Saka,Omo,Profit,Jirina,Nori,Millicent,,
29.06.2024,Saka,Nori,Saka,Ulalek,Profit,Kaalia,Nori,Gishath,,
29.06.2024,Profit,Profit,Saka,Boros,Profit,Kamiz,Nori,Gishath,,
26.07.2024,Nori,Profit,Saka,Mirko,Nori,Prosper,Profit,Atraxa,,
26.07.2024,Saka,Profit,Saka,Lathril,Nori,Prosper,Profit,Anhelo,,
26.07.2024,Saka,Profit,Saka,Ranar,Nori,Gishath,Profit,Zur,,
11.10.2024,Saka,Profit,Saka,Necrobloom,Nori,Gishath,Profit,Alela,,
11.10.2024,Profit,Profit,Saka,Wilhelt ,Nori,Gishath,Profit,Knights,Robal ,Willowdusk
11.10.2024,Saka,Nori,Saka,Valgavoth,Nori,Gishath,Profit ,Abaddon,,
08.11.2024,Saka,Saka,Saka,Satya,Profit,Kykar,Nori,Krenko,Seba,Anowon
08.11.2024,Saka,Saka,Saka,Galea,Profit,Legends,Nori,Krenko,Seba ,Obuun
08.11.2024,Nori,Seba ,Saka,Necrobloom,Profit,Jirina,Nori,Krenko,Seba ,Anowon
30.11.2024,Saka,Saka,Saka,Lathril,Nori,Krenko,Profit,Jirina,,
30.11.2024,Nori,Nori,Saka,Satya,Nori,Krenko,Profit,Jirina,,
30.11.2024,Nori,Saka,Saka,Ulalek,Nori,Gishath,Profit,Kaalia,,
30.11.2024,Saka,Nori,Saka,Ulalek,Nori,Gishath,Profit,Kaalia,,
20.12.2024,Profit,Profit ,Saka,Hakbal,Profit ,Atraxa,Seba ,Anowon,,
20.12.2024,Profit ,Seba,Saka,Hakbal,Profit ,Katilda,Seba,Obuun,,
20.12.2024,Saka,Saka,Saka,Boros,Profit ,Jirina,Seba,Wilhelt,,
30.01.2025,Saka,Saka,Saka,Sefris,Nori,Krenko,Profit,Kathril,,
30.01.2025,Profit ,Profit,Saka,Valgavoth,Nori,Krenko,Profit,Anhelo,,
30.01.2025,Nori,Saka,Saka,Satya,Nori,Krenko,Profit,Kykar,,
30.01.2025,Saka,Saka,Saka,Boros,Nori,Krenko,Profit,Kathril,,
06.03.2025,Profit,Nori,Saka,Mendicant,Nori,Krenko,Profit,Vren,,
06.03.2025,Profit,Saka,Saka,Mendicant,Nori,Gishath,Profit,Kathril,,
06.03.2025,Nori,Nori,Saka,Temmet,Nori,Gishath,Profit,Abaddon,,
28.05.2025,Nori,Nori,Saka,UrDragon,Nori,Krenko,Profit,Kaalia,,
28.05.2025,Saka,Saka,Saka,UrDragon,Nori,Krenko,Profit,Kaalia,,
28.05.2025,Saka,Saka,Saka,Omo,Nori,Gishath,Profit,Sigarda,,
28.05.2025,Profit,Nori,Saka,UrDragon,Nori,Krenko,Profit,Legends,,
18.06.2025,Saka,Profit,Saka,Satya,Profit,Kykar,Nori,Prosper,,
18.06.2025,Nori,Saka,Saka,Ulalek,Profit,ThaliaGitrog,Nori,Prosper,,
18.06.2025,Nori,Nori,Saka,Lathril,Profit,Cesar,Nori,Gishath,,
07.07.2025,Saka,Profit,Saka,Boros,Nori,Gishath,Profit,Sigarda,,
07.07.2025,Nori,Profit,Saka,Sefris,Nori,Prosper,Profit,Abaddon,,
23.07.2025,Saka,Nori,Saka,Killian,Nori,Krenko,Profit,Jirina,,
23.07.2025,Saka,Saka,Saka,Lathril,Nori,Krenko,Profit,Jirina,,
23.07.2025,Profit,Saka,Saka,Valgavoth,Nori,Krenko,Profit,Jirina,,
23.07.2025,Saka,Nori,Saka,Sefris,Nori,Gishath,Profit,Kamiz,,
23.07.2025,Saka,Saka,Saka,Killian,Nori,Krenko,Profit,Vren,,
22.08.2025,Saka,Kofaj,Saka,Hearthhull,Nori,Inspirit,Kofaj,Gishath,Profit,Atraxa
22.08.2025,Saka,Profit,Saka,Ranar,Nori,Sauron,Kofaj,Gishath,Profit,Jirina
22.08.2025,Saka,Nori,Saka,Boros,Nori,Sauron,Kofaj,Gishath,Profit,Jirina
07.09.2025,Saka,Nori,Saka,Ranar,Seba,Anowon,Nori,Krenko,Profit ,Jirina
07.09.2025,Saka,Saka,Saka,Hearthhull,Seba ,Obuun,Nori,Sauron ,Profit,Vren
07.09.2025,Saka,Seba ,Saka,Satya,Seba ,Boros,Nori,Sauron,Profit ,Vren
03.10.2025,Profit,Profit,Saka,Ranar,Profit,Vren,Nori,Krenko,Kofaj,Millicent
03.10.2025,Nori,Saka,Saka,Sefris,Profit,Jirina,Nori,Inspirit,Kofaj,Millicent
03.10.2025,Saka,Kofaj,Saka,Killian,Profit,Kathril,Nori,Sauron,Kofaj,Millicent
31.10.2025,Profit,Profit,Saka,Anikthea ,Kofaj,Gishath ,Nori,Sauron ,Profit ,Abaddon
31.10.2025,Kofaj,Saka,Saka,Mirko,Kofaj,Gishath ,Nori,Sauron,Profit ,Anhelo
31.10.2025,Saka,Profit,Saka,Killian ,Kofaj,Gishath ,Nori,Krenko,Profit ,Kathril 
21.11.2025,Saka,Saka,Saka,UrDragon,Nori,Prosper,Profit,Zur,,
21.11.2025,Nori,Profit,Saka,Lathril,Nori,Krenko,Profit,Kaalia,,
21.11.2025,Nori,Nori,Saka,CptMill,Nori,Sauron,Profit,Astartes,,
21.11.2025,Nori,Profit,Saka,Boros,Nori,Prosper,Profit,Alela,,
30.12.2025,Saka,Profit ,Saka,Yshtola,Nori,Prosper,Seba,Anowon,Profit ,Kykar
30.12.2025,Saka,Saka,Saka,CptMill,Nori,Sauron,Seba,Obuun,Profit ,Balekor
30.12.2025,Profit ,Seba,Saka,Hakbal,Nori,Sauron,Seba,Anowon,Profit,Balekor
30.12.2025,Saka,Nori,Saka,Sefris,Nori,Inspirit,,,Profit,Sigarda
14.1.2026,Saka,Saka,Saka,Killian,Nori,Krenko,Profit,Jirina,,
14.1.2026,Nori,Nori,Saka,Sephirot,Kofaj,Gishath ,Nori,Sauron,Profit,Balekor
14.1.2026,Saka,Profit,Saka,Sephirot,Kofaj,Gishath ,Nori,Prosper,Profit,Balekor
14.1.2026,Kofaj,Profit,Saka,Boros,Kofaj,Krenko,Nori,Gishath,Profit,Jirina
17.3.2026,Nori,Saka,Saka,Ruby,Nori,Prosper,Profit,Radtraxa,,
17.3.2026,Saka,Kofaj,Saka,Ruby,Nori,Sauron,Profit,Radtraxa,Kofaj,Krenko
17.3.2026,Profit,Kofaj,Saka,Lyse,Nori,Sauron,Profit,Bello,Kofaj,Krenko
17.3.2026,Saka,Saka,Saka,Lyse,Nori,Sauron,Profit,Bello,Kofaj,Krenko
18.4.2026,Kofaj,Profit,Saka,Liesa,Nori,Prosper,Kofaj,Gishath,Profit,Bello
18.4.2026,Saka,Profit,Saka,Sefris,Nori,Sauron,Kofaj,Sigarda,Profit,Radtraxa
17.05.2026,Nori,Profit,Saka,Hearthhull,Profit,Kykar,Nori,Prosper,,
17.05.2026,Profit,Saka,Saka,Ruby,Profit,Balekor,Nori,Sauron,,
17.05.2026,Saka,Profit,Saka,ShalaiHallar,Profit,Radtraxa,Nori,Sauron,,
17.05.2026,Profit,Saka,Saka,CptMill,Profit,Bello,Nori,Gishath,,
17.05.2026,Saka,Saka,Saka,Killian,Profit,Kathril,Nori,Krenko,,
17.05.2026,Saka,Nori,Saka,Lyse,Profit,Kathril,Nori,Krenko,,
17.05.2026,Nori,Profit,Saka,Killian,Profit,Kathril,Nori,Krenko,,
29.06.2026,Saka,Saka,Saka,Valgavoth,Profit,AbbadonNew,Kofaj,Ruby,,
29.06.2026,Saka,Saka,Saka,Liesa,Profit,AbbadonNew,Kofaj,Tidus,,
29.06.2026,Saka,Saka,Saka,Hearthhull,Profit,Sigarda,Robal,Willowdusk,Kofaj,Tidus